packet_size,transmission_time,latency,jitter,packet_loss,network_load,throughput,bandwidth_usage,encryption_time,decryption_time,key_size,block_size,cpu_usage,memory_usage,encryption_strength,error_rate,integrity_check_time,retransmission_count,packet_order,traffic_type
1226,43.45293919831576,40.900099816990924,0.6583734418318257,0.8734967571044921,13.187127267044776,373.5586369980445,74.33255501897392,7.247681702660395,1.1771353748264457,256,32,50.32871421596808,256.57054190993097,5,1.0211198921671218,0.4054533090129585,0,1,0
960,11.560963570775261,63.82109030641095,8.696140479797146,1.6270248116479358,89.64525287999055,480.0173396417814,52.67084267655283,4.867057775532242,4.563834969057945,192,16,68.01069694666296,827.4198943733385,7,0.026063983247979428,0.8783330873974792,3,0,0
1394,18.658513176587032,62.497445897214234,3.0176769838790407,0.9972016850660997,58.179674336425826,197.83805138149535,46.18315249807283,3.6181331571227293,9.196199448407864,128,128,76.14928316444407,591.3284062532241,8,0.36121516580305957,0.9492090611817205,3,1,0
1230,4.356764924721999,12.953916953771332,0.11793913530559146,3.1690770311497243,88.3153449745102,680.566244207825,44.92978673221033,5.432144891760035,5.041593052642818,256,32,26.301949987639397,407.49222428846275,4,0.9952405914383682,1.7114749410799186,4,0,0
1195,38.39460927168558,97.71958906653563,2.3157990519586455,2.845334991210448,39.20653065870216,222.23048848628275,73.28964992120655,4.559454896981124,9.154451646204418,256,32,27.45737884263459,647.5100010665183,2,1.5051340906429103,4.173365269078713,1,0,0
1144,21.007010795213105,19.506211514703246,3.4703666929842427,1.9129441183546003,46.64190564268714,2.255538598417372,42.02187053729515,9.81513616246659,8.262848365668269,256,32,70.68731648787067,765.8507128121125,5,1.6452051560415535,4.2955625491993565,1,0,0
221,38.203187919981296,45.08212845170575,9.910763078017185,1.6291500996869723,70.18891539179137,933.8283576869444,71.55001173957547,5.213580849555808,9.849777576254493,192,16,70.26453905411208,418.9850047187764,7,0.5665326818336291,1.9372643719908393,4,1,0
566,45.27678437299296,49.323636799939756,5.283061779185108,1.1880710009732125,73.4160360449055,306.70922597333924,38.55155595856701,8.205574762538557,9.5031051779746,192,32,14.814665651169525,519.4673573814771,4,1.4249144846488664,2.2133838535335353,3,0,0
1338,12.405394207963148,81.4932169241979,2.1266680811915033,2.677291544796706,28.64264426801922,197.4354104235363,51.89023907017061,6.834784948810561,7.211591056003401,192,16,35.79985925559715,157.79189500310403,4,1.6570588809002238,1.1634504893217072,2,0,0
430,40.56240548665762,10.82373001337003,3.414701612663166,4.594513821728442,84.38408690461782,268.87858423481015,28.629186172154526,5.056458753565514,8.776564225321762,128,16,41.88259935267504,637.3814825912312,4,0.7496088286493965,2.219317576180828,0,0,0
187,3.8956006138344104,43.43578364164465,3.370046106813097,3.428515256944686,79.39384974677829,331.11724992102893,69.50181873460667,5.004425688430193,7.6067381655075685,256,32,76.3232322776923,420.76638599696616,9,1.3911117254176484,1.4466887185237252,3,1,0
1496,45.04352202083212,63.221714853384185,0.29528488998543734,3.722073570177837,11.456424248255885,475.0718800217255,64.15849226028968,3.7479561120893576,7.1822478891010695,192,128,43.74898043437899,490.1712828407089,9,0.8745622747170627,0.9569249616956609,3,0,0
1223,32.88765883037862,22.3004065407815,1.4383122362971577,4.171889318282039,20.285448468414646,70.28231934757802,51.80558380848599,1.516327172504533,7.297815990029121,192,32,84.0743112322595,480.34055615223224,10,1.9713044947443221,0.8764935409134719,0,1,0
971,43.837109482779226,63.1193219778412,6.982444951061791,1.7581748666892438,49.68776851256539,53.62048304924543,21.554078448738366,7.73395862490451,7.349914915900639,256,32,89.7286221712512,669.1683598682885,8,0.013335090302540653,3.9006710417860817,2,1,0
230,1.009231578272513,92.44281891741562,1.290484767050273,0.31437891057243816,46.87644112905461,293.61785477253454,48.87543991145324,9.221900535405121,4.104480612684711,256,16,72.45809325554796,615.2188140590328,8,0.8286900792788778,0.673037313689703,0,1,0
1432,9.284972447443634,99.75429498609482,2.384269338400576,3.1127940166082215,66.67126840278684,296.4703650658987,33.51179169351481,2.5705711192711176,4.52384295249955,128,32,63.3109351653806,479.8954429989112,7,0.5274328057591526,3.1185689109328814,4,0,0
869,20.098209983898112,4.212656602276896,3.5722992542026573,0.9433614561401632,17.17691008424272,118.52858158642083,44.80245775250116,9.293898192327376,3.2936760121439206,128,128,41.35177327896982,115.25951934165582,1,1.6994731064432334,0.9206618651726342,0,0,0
443,19.59564226536121,24.323234596223074,7.601575950572708,2.8452182499783314,61.58842453577012,405.3868027262137,71.38558933151867,2.7068900715536426,1.9084754688776298,128,32,15.36315568416267,658.8663531682413,8,0.5742516662459451,4.205413153614659,0,1,0
905,12.109788763252023,31.72040446337805,5.865769552192604,3.697551165785324,59.30959449076659,284.7446395345795,66.17619832104398,5.535751468845864,4.855212303174827,192,128,55.85110051169045,891.6197266308943,4,1.087690947156096,1.444888633870289,3,0,0
485,19.698985053492805,40.51348394405164,6.921099851386826,3.9181915107391827,28.68956787824355,27.02949724227503,34.51717457045583,3.7644089632078095,9.049518248086686,192,64,38.936392443519274,792.5964144345079,1,1.4805388963945219,0.31997806926857664,3,1,0
1315,7.313586888012487,24.98345860089197,5.713422021659705,1.5091956012375773,53.39151714147196,885.8350596406897,79.09720597553303,1.587833466166453,6.687014712869375,256,64,38.07184606658748,983.454069025074,1,0.9944605479325928,2.315158477404174,1,1,0
1055,21.225295334035277,21.14531146097594,6.867565009696503,2.5621661628465757,27.776576559678556,886.1329990255468,74.19263037742807,1.0019645620776996,1.0337134173220563,128,64,65.01674021675484,225.16780421864203,3,0.8208050993715446,4.999005852778615,0,1,0
376,40.31536212880395,95.5008303993325,0.12813732127332722,3.1048254813859617,21.753842168048507,209.97307066056055,51.72040658802598,3.9707920553701603,8.206399473364193,256,32,47.09114868773086,300.2680475090683,3,0.08503600991262217,4.084371801156538,4,1,0
1284,24.47443309206421,91.93363867428127,9.315891629277152,4.097403608503109,55.85079477232564,163.70935593618353,51.809019217274795,0.9497667132196795,9.386314508566253,128,16,70.167507581716,585.3407186997812,10,0.04586433750936347,2.894286213510893,1,0,0
559,1.8820043583155344,5.65225759930863,1.1981102856605845,3.806943325524737,88.19794226404562,547.7454715826348,74.07595790019815,1.4899611566095874,8.37951317987432,128,128,41.853857814830334,312.29353210942577,1,1.914644390114078,1.0282501614952624,0,0,0
1437,21.650758037383124,34.542489138879965,4.1218660501713575,4.939876604886852,28.9546679337396,631.1227494784495,58.16868850635392,1.85182699858085,7.411643434479596,128,64,22.06907083892501,131.09480315352084,8,1.2864881150004364,0.6757746845760665,3,0,0
121,2.3315757884513637,41.10970681416226,7.733279865424062,0.04042338265005441,38.42689194841215,957.5850148896258,52.201304711766376,0.518199208700491,1.926143760226554,128,128,46.90780209521972,462.05944854755154,4,1.650507596618539,4.208897643231154,4,0,0
352,48.345927124633114,24.662438931928392,4.408784108293297,2.187447204315665,30.525858079203736,377.9711081831727,64.94891142085575,1.9558960505147078,3.815498976399587,256,16,86.08100114602907,358.88026073858424,4,0.9608767644496872,3.959766286586992,2,1,0
847,7.24524401172058,63.25841680182938,9.473741261508406,1.2802224318806394,31.316785731719577,618.5821425216939,34.105826916245135,5.984147463594558,5.870225439306288,256,128,74.12197032932467,337.3847610929945,6,0.5231619923418975,2.364723969335283,1,1,0
956,35.67672799020032,64.39769391777986,4.729130590137791,0.599466935724367,42.33537073493445,878.3028647585053,72.70264518173596,8.285469659911396,1.2301774040947007,192,128,26.45994040586934,957.8555353218237,9,0.5890755595197998,2.164907465379557,3,0,0
574,48.666039821712204,85.1999186045311,8.761900115466446,4.557576640835923,66.14844085204962,450.50383199506916,51.884914424483256,2.3375846143766634,1.509567034289956,128,64,41.304040131595414,314.60870463890456,9,0.08698323701185351,3.7684966674487126,2,1,0
1182,41.47591353166202,74.34605757013657,8.127198322286482,4.989810330478432,13.104361922475611,123.22340540616872,56.20995769830205,1.2682897365512527,9.375412259105923,256,128,84.22336761764302,216.48931406865802,8,1.581767032657097,2.7265844809412667,0,0,0
610,35.26645338118398,54.714759369629604,9.811764397706963,0.9029810395236182,86.56993565484481,378.06983854414426,25.39663227529007,7.430384885140786,7.175566336121844,128,64,19.89592469812532,212.78733211706603,1,1.163141561396771,2.0804293332700685,4,1,0
799,42.133584565537575,65.70509023439757,9.272823029434656,0.192166964006818,13.7023903591398,137.4303597765971,38.5705375257339,0.5775457588435523,3.1133269374871175,128,16,30.316019349194878,825.6916661396763,10,0.9616035537768566,1.3334321946343481,3,1,0
1075,49.10813596977076,28.12488937275879,8.9914259636575,1.3752722384025018,80.50025455556478,17.62282473774833,45.60412020032567,7.474539969345622,3.609922942732804,192,64,30.97781166975171,743.3632670740662,10,1.7045940893357714,0.7005611740349146,3,0,0
289,31.44588036542295,59.71256280676841,7.342882971142736,4.174309590331978,81.55024790095992,751.8015032926772,44.834571406161174,1.7456137407353722,4.152078390661609,192,128,55.674630052958676,216.53757601035596,2,0.8896900552541653,3.014488011197176,4,1,0
1057,28.400055534636998,49.43349822024201,3.733281657955386,1.4694504159965838,51.95913500732186,239.1852767948602,66.69706197070747,2.668708090134333,1.2131772794978106,256,16,42.85866557690582,297.7778069747077,3,1.8958602996686758,4.147639353791164,3,1,0
786,31.783667412700787,14.201102264320669,1.1506416437925342,0.2845074024881078,20.959746289517398,3.0050387931350677,36.93934384940048,1.6406641534362807,7.522181487787067,256,32,16.38965391970399,772.6087075991773,5,0.026473058764921342,3.7562972515886437,3,0,0
1057,27.101118451316193,25.011883381714103,6.91758601741746,0.2624609197651495,55.21167764455551,872.5599251776099,30.92655574058396,2.8497124919882477,2.1799231148664537,192,32,60.33451636616685,347.1547580511527,5,1.9692327223243997,3.5119604170841985,0,0,0
662,32.11936618957622,29.877651621437018,9.788675405245852,2.1371140118471823,60.29057279222798,444.34504965241496,54.95703508773519,8.08267141538705,8.148640235796746,256,16,17.926229161612017,983.3878676416169,10,1.6317670648946134,4.651375334998809,1,0,0
1367,23.042268190655403,92.50664713820323,7.293383929585502,4.659128615308099,78.6207166245689,239.62101975359198,56.90089150202495,1.7591689986882195,8.535788082880869,256,16,58.51319455832625,586.5130599588178,8,0.7098784043515669,2.033132039113747,2,1,0
931,11.703715961282048,23.808277299203056,9.294420755845621,1.4296022081981596,54.07163006156558,263.5271823830638,27.29499842517445,9.944573506788572,6.565124685560909,192,128,50.56067041808206,272.80717336907935,2,1.190727120237164,0.7723660789696553,4,1,0
1254,6.892114099072106,29.635146379147148,8.062616658259616,2.135788403505219,42.85675167226706,241.2973554117452,20.148110179159758,3.607428872929023,7.813621962289675,128,32,49.49349285802501,872.9276090614599,2,1.7292100243105064,0.599550605568726,2,1,0
746,4.3487058410807595,37.566058878853795,1.71483528365512,0.5096690269130427,77.0632955083291,195.36160502808272,75.05894480131153,9.258697192329125,2.132434083517412,128,16,15.399699623938385,387.5279913075116,8,0.9631967061609512,4.779559173129537,4,0,0
120,13.902473403906804,66.71053112391331,2.5671173288537443,2.4678639663449053,88.47614378820951,841.3849983497221,24.778219826800044,2.3053142584376927,5.971420335371049,192,32,61.13763575068287,359.92661955794006,1,0.10209942397630889,2.985924657644125,4,1,0
940,3.260054652450958,12.705600854741911,3.4844694574472688,3.48273532142852,61.60825641263466,171.16130273549967,73.87201591652001,2.2850264394718165,6.929593487238247,128,32,44.50562068714646,394.6971101063486,9,1.8073921644177855,4.072886883849077,3,0,0
266,28.791368216049893,95.44057603688383,1.765778398946241,1.355751805886098,79.95096298422476,562.2928291955193,43.95289246318467,5.870688988909201,6.784825518115639,128,128,42.888489782854926,791.3775234007339,2,1.0340324937551113,2.7242432854595386,0,1,0
1397,14.907593904152494,86.69155078938168,5.858348193462766,1.4835565426434238,57.89880902632514,78.24292442751516,59.18335447970402,0.9807008065944404,1.6142538376102173,192,16,57.71611171348294,255.89165474435333,5,1.0903144824030826,2.052622542778906,4,1,0
487,41.40220559626458,58.14439122788607,9.756960188936018,4.209875127031356,65.18303931282446,949.5718548024216,31.136881442383775,8.109527527538132,3.771633393560362,256,64,58.49984479572379,443.60720223484424,3,0.027436353397380486,1.0813212892482233,2,1,0
700,4.637802776430936,67.72974887507071,7.63844245101797,0.05181861173588542,65.0533694039135,603.7105905414759,69.43502166964934,4.676344881346512,3.587856454082197,192,16,11.202663660959082,127.74949550596939,5,0.20013213988700262,4.296400890221278,1,0,0
415,12.091223222732811,2.649386653177383,4.291528815767872,3.182353542750485,66.38295894722123,903.249358691091,30.811603213992456,7.142366496852118,5.93900528967063,192,32,20.01807209625653,843.9639556146469,8,1.5547956910640421,0.41122466273225766,2,1,0
113,36.78206120741715,34.55553275949642,0.14459436170485776,1.9694231747080848,35.68107551429069,398.4799016960197,43.190548898894406,2.159005933212184,7.769752724243656,128,64,28.92145766757765,406.64688967630474,8,0.869898697349563,4.511141075684659,0,1,0
341,30.34160652279108,79.77036283548276,3.2014325102679693,1.491902567807345,56.05291170173699,810.861384705649,34.28154676884958,6.602394832468809,5.920608478617031,192,64,64.23818666767832,323.355627827537,6,1.9961166257559284,1.104562616509494,1,0,0
876,4.160072291209209,8.670814405446203,5.314916948152931,3.2879691612193858,57.53084671790363,853.8008249698619,70.25035746121621,6.143671216341089,7.670860667190715,128,32,56.139290162368596,621.9039181379493,9,1.3913553514266093,0.14670212502336982,3,1,0
1469,43.98473340094782,28.9490695868613,3.310083651134509,4.173342608948526,35.20573013705856,703.2463418874912,71.50014881893276,7.6787818932204654,1.4401921686405772,192,64,70.6103305907803,734.4926953762377,7,1.8992022887818316,0.6090958641322628,2,1,0
664,43.9858263784828,58.94438600509682,1.1992457379362096,2.7919605816433686,37.988189416293096,93.85451898725262,42.32173336221388,3.3253122801842205,8.842317563239135,256,64,69.24862444350856,831.6064334646488,2,0.5587042555405384,4.4291926900165075,2,1,0
997,17.189992189912918,26.384889742195238,4.483373072932756,0.15547310971528006,70.97974120133718,17.064006319500063,38.44270826025642,9.365072962229338,5.597862158960467,128,16,78.25462953649206,413.0064509491611,1,0.3523071301039309,0.4611651682388005,4,0,0
1463,17.67988632412867,93.4638194403074,2.607202887960591,2.3070059541278805,56.61790724937993,169.39111238416558,66.41392251170991,9.632360159259454,0.8562372744381423,192,32,40.14518890179311,831.0707651341627,8,0.753178850961074,1.8406788750485714,4,1,0
191,49.462389559158524,13.974804449624747,9.101400526968865,2.3137997044698655,21.936891837053487,118.97866020971175,72.71071830867507,8.74717430660287,6.61052352871305,128,128,37.60510929466422,518.3929003343123,1,0.5295370910097612,1.3265511979355427,1,1,0
1490,31.68263240806377,79.94204143287008,1.107369832160056,2.718992474023039,77.01095909462978,725.4125265356439,57.44119964684383,5.934320778525147,5.414798279949217,192,64,76.48123224427705,191.02804079070245,8,1.2267313610808126,0.28058779521645183,3,0,0
1055,27.034509507834898,51.28692049873442,0.5866110243746328,3.3547945052177615,80.64914296594557,557.4498138686533,75.6442205437462,4.49273857128283,2.5935109040613673,192,32,29.00812270937476,861.6767344442013,9,1.4888840924211284,2.704187584401457,4,0,0
608,42.069456994044295,75.28274680617564,0.15261027463313429,0.09659201767170222,47.291291836625135,526.4249136810602,42.98262877100501,1.0509279764145711,7.76204185680787,192,16,46.89378989388856,592.8713038941529,1,0.8041950258846655,4.991831269884653,2,1,0
875,14.979226579508506,31.760817502833298,3.3478898764080123,2.510063121998752,26.712594561834155,253.6144330278124,29.113184121041733,9.498664113879402,9.368898386475811,128,16,25.546052161779976,642.2226147526469,7,0.17969205366663998,4.279736652389654,1,0,0
134,22.029947076421486,51.93447062889184,6.637829698188797,2.9415388469029535,85.80851963239242,155.4529292003046,30.77857893902248,9.541922765134485,3.5654928115133053,128,16,83.10725937113709,943.7421427252618,5,0.05266392292793509,0.9275738472716277,4,1,0
305,14.121057098928375,85.82669962259446,7.331096153529748,1.7167669320802599,80.5815651615661,207.341421799127,60.189917137833206,0.6775403223069967,5.192198986755505,256,64,42.62424104773003,603.2363364453297,8,0.4360554137897168,4.433148442785041,4,0,0
1204,39.66888148284784,47.220931813187335,4.587290665479059,3.3418261329521655,29.55053970734708,400.8767304070657,44.45158538471699,3.890431693086841,1.7176624876350761,256,128,26.998951858466267,105.0251776101901,4,1.4649748718107984,2.3137880574968896,0,1,0
1125,29.09411793612568,36.61226632911669,6.8748536395071405,1.1408885856458557,17.647498904215794,740.4030635541919,29.378875900509062,8.860345498453487,9.333097375195752,256,16,65.36107124551296,883.5542569027924,2,0.44310482660962824,1.4389276788842529,1,0,0
1121,33.282428436863455,54.07938323902087,3.663148958532098,1.586861665337258,45.25228860392854,255.2620999199335,37.53361129421647,1.2680943138763738,3.528562566382713,256,128,29.57157425683829,356.275972291114,7,1.8219485243833766,3.237498777213382,1,0,0
665,13.36305524213092,72.01891255060032,6.711281577867507,4.81377673712163,64.11175891949917,698.9143882574615,51.83630432196492,2.36738057874697,2.3504544951454953,192,32,85.48028825361787,551.5902287056034,7,1.3032870185792451,1.1618046010391156,3,1,0
1229,11.79103976748844,44.91277120435177,0.5019002544934967,1.7403518543057006,24.031086817595522,492.02030858443857,27.286716017728185,9.797434509786113,5.045072429309827,128,16,39.40936118475292,284.3979423052782,8,1.7241792743322295,4.410293754929952,4,0,0
802,24.930356820163997,93.94882053908502,3.9684545472133412,1.7325044368287252,51.05701267453984,885.5554076622822,20.206549936664583,8.549243715143312,0.9111836502612171,192,64,63.17125696814696,367.2852116094761,9,0.7716294496170084,3.1585025409534206,1,0,0
501,37.140721705548515,30.19963658019186,7.9294118085684735,2.9784031791155763,44.033239541801336,233.68164632814435,75.03788284973675,9.164603193795754,2.901949896650846,128,16,37.61959449259307,717.9839632603305,6,1.967099725046104,0.7665072206764048,3,0,0
829,26.73674811848785,48.070897010742925,8.049759701544113,4.854876649300301,81.24409190155725,451.4058259349913,38.29167144668514,1.8504669772255133,1.142748496668403,128,64,74.5796466394779,486.6160159341226,3,1.3589968218106474,2.8961794774523955,4,0,0
261,2.5996381997377616,75.9358382748027,7.189872910869377,4.915402229765002,44.36533062457029,97.5681023985054,33.28988872057918,2.5075016101850274,1.710025967694898,192,32,81.75381928182206,664.4175675232484,5,0.7139197510127864,2.6008181078051122,2,1,0
301,43.559023809694146,69.22298795908006,2.1219623436416577,2.8982898183815804,52.702111498803006,335.8179894796983,61.90884858369133,6.251457551341616,1.5654967332257468,192,128,73.03346875318289,841.2181221816559,3,0.42507826567986284,2.410132101170564,0,1,0
1095,4.169657782241448,86.50046418929846,2.547330677413269,0.00543509902466266,86.42289568014579,507.3735635881708,71.20416333085271,5.266513099525642,8.787989572670593,128,128,77.8799214982016,406.7398199677107,10,1.7330626626179433,1.8883820154138762,3,1,0
369,47.83539970231686,99.68410888742979,9.96127839991867,4.503282753841998,33.97534126996517,733.0074741214567,57.93672604061145,3.3357822101969643,9.339131056328965,256,128,18.150466235010878,611.5060344934368,9,0.6361965517508323,2.4236070586479954,0,1,0
915,2.2319559555863635,43.258974550713866,1.123442271299403,2.8511898228852406,33.11927455535531,198.87904293857312,35.2689652459119,8.89653984750384,5.007960574911388,256,16,83.9251741626453,799.8291040358226,5,0.08872848510652043,2.97145626993268,2,0,0
1394,35.02807235040473,12.003937098547873,1.888560719133853,1.8299820414496792,73.96760639536342,218.87403627805938,71.69819740125851,9.063191847587944,6.48896233460678,128,16,59.94405831002243,743.6108734924371,7,0.5573174254824598,3.6944896493839146,1,0,0
555,5.028146121877302,4.011172199988829,1.3872599309363127,4.1459757050796915,32.20311889151749,631.9462626805283,50.62563176763316,3.2709980963928063,7.111068023998485,192,32,79.53740257329598,585.8590923836658,10,0.3589027399249327,4.597590347481366,4,1,0
1375,45.62315239232184,72.96081370783739,3.3437841404677946,1.9991622967510252,76.5492696058564,383.0753256708573,42.87144817761481,1.979654835623428,4.217476586284572,192,128,64.75494113483323,445.04515965461957,7,0.6394624319519782,0.3174820670754115,1,0,0
1116,23.757228575051595,87.52735345956285,2.1807407688158413,0.17022253100132334,17.6428487489316,482.6127723651155,56.28356717797844,1.9163779973179782,4.016999436907435,128,32,26.147813483496833,466.75178310971575,7,1.2265323592484947,2.8897856919146454,0,0,0
395,7.738664966033754,22.85054600849745,5.027110799522943,4.105361115285094,18.90089978475747,836.2987339099619,62.03673341829899,5.102039356223421,6.917905682624862,192,64,58.76440813165412,489.821690796639,10,1.0008637748774993,3.784672490746043,1,0,0
819,17.699969289702484,16.68635568180069,4.812604998113186,2.7292970050988115,82.10586993302174,499.58421776346063,55.62979244690853,1.7627257063128527,4.078787894829766,128,16,17.27569917785128,413.96097605153665,4,1.4217007646846127,0.6662152534962559,1,0,0
437,9.07640909199134,7.158304061043407,9.0249056325679,1.690717691120981,53.26498259859483,652.846881228562,75.21472674336835,4.996732109904641,6.019590435726682,128,128,65.65784241745268,729.1680714007281,4,0.667664277273516,4.566339187931745,3,1,0
978,9.35851366629741,82.44758925000343,0.44392547970333673,1.2544618817692559,67.5051413355391,657.1182666183123,57.68106835994322,4.888373692168646,5.394331702708849,128,16,42.72009128644582,212.87372704464673,3,0.23961683957992586,1.3004498331456185,3,0,0
1176,47.45730768840067,31.82681204936585,3.2668078090108574,2.968987297077128,28.023111349003543,803.8083310130622,72.7148427575346,8.899047025453742,5.482375708559323,192,128,22.138653848016716,970.7087086455491,4,0.32053554186938094,4.1833264041264675,2,1,0
891,22.81705950195462,40.76799238321787,6.006913130771193,1.0402477411255007,23.301949470568665,638.5013490025332,55.21750610923241,3.3139991781003517,8.378909197326283,256,128,88.33838526947312,801.0869517743861,9,1.5945655295292445,3.343832659067896,3,0,0
316,39.651310931362616,50.77226896935162,6.0875374422552415,1.619254432785016,76.79634097861121,65.74501582820865,39.78077442380749,5.826198357089286,7.188542534537617,128,16,82.08675393685449,368.3467469500965,5,0.19598131536113006,2.8417783090887117,3,1,0
863,32.34067249770641,84.10587018674552,4.853249667240671,3.182651547069918,38.6898725618599,342.8308097041533,51.937809048991724,7.563248710698916,9.626485213361883,192,16,81.4834970722603,138.29281234357205,6,1.5962524353728798,4.359287627284433,3,1,0
287,34.144891754581224,65.43248893458701,8.175088854064875,4.40772225202966,46.40260952975956,989.3268673257008,25.180201379096154,6.1611905529741104,8.014277958890005,256,32,73.10562450818023,740.1728551410336,4,0.4252587009619606,4.849248999410686,3,1,0
479,7.452978485129887,61.89139835592332,0.720949497003142,2.664451641957994,12.237751782028718,197.31377851911085,33.81047803374766,9.5636445273113,1.8850288886990094,128,16,65.35849001148141,760.9231404728498,1,1.3568092360531387,4.985941243177215,2,1,0
592,12.475037893958797,18.39153789563516,8.173328879243346,3.7955319914954626,40.87045873543731,587.1423493362739,65.973899732223,6.221636064747815,7.515591378498506,256,16,62.406358423379615,967.2603494748189,7,1.2461925774638531,3.448076973788514,3,1,0
1164,39.550766422567406,51.805799279273145,4.998066980313466,3.815303018815209,71.63502464999827,843.0976992373843,59.68853664106556,9.067690695466062,6.823651762687786,192,16,18.48750701630842,328.3350018176485,7,0.19652087352088254,1.761742344105267,3,0,0
